"hr","weekday","weathersit","temp","hum","windspeed","ToD","temp2","season","mnth","cnt"
0,"6",NA,NA,0.47,0.1642,"(-0.01,5]",574.0816,"3",6,116
NA,"6","1",23.02,0.5,0.1642,"(-0.01,5]",529.9204,"3",6,95
2,"6","2",NA,0.5,0.194,"(-0.01,5]",529.9204,"3",6,59
3,"6","1",22.08,0.57,0.194,"(-0.01,5]",487.5264,"3",6,39
4,NA,"1",22.08,0.57,NA,"(-0.01,5]",487.5264,"3",6,11
5,"6","1",21.14,0.61,0.1343,"(-0.01,5]",446.8996,"3",6,14
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,29
7,"6","1",22.08,0.57,0.2836,"(5,10]",487.5264,"3",6,42
8,"6","1",24.9,0.48,0.2537,"(5,10]",620.01,"3",6,112
9,"6","1",25.84,0.45,0.2537,"(5,10]",667.7056,"3",6,186
10,"6","1",25.84,0.45,0.194,"(5,10]",667.7056,"3",6,302
11,NA,"1",26.78,NA,NA,NA,717.1684,"3",6,331
12,"6","1",26.78,0.4,0.2836,"(10,16]",717.1684,"3",6,392
13,"6","1",26.78,0.4,0.2836,"(10,16]",717.1684,"3",6,371
14,"6","1",26.78,NA,0.2985,"(10,16]",717.1684,"3",6,383
15,"6","1",26.78,0.45,0,"(10,16]",717.1684,"3",6,392
16,NA,"1",27.72,NA,NA,NA,768.3984,"3",6,410
17,"6","1",26.78,0.42,0.2239,"(16,19]",717.1684,"3",6,399
18,"6","1",25.84,0.45,0.2537,"(16,19]",667.7056,"3",6,307
19,NA,"1",25.84,NA,NA,NA,667.7056,"3",6,375
20,NA,"1",24.9,NA,NA,NA,620.01,"3",6,269
21,"6","1",23.96,0.51,0.1642,"(19,24]",574.0816,"3",6,202
22,"6","1",23.96,0.47,0.194,"(19,24]",574.0816,"3",6,187
23,NA,"2",23.02,NA,NA,NA,529.9204,"3",6,179
0,"0","1",22.08,0.53,0,NA,487.5264,"3",6,115
1,"0","1",22.08,0.53,0.1045,"(-0.01,5]",487.5264,"3",6,90
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,87
3,"0","1",20.2,0.64,0.1045,"(-0.01,5]",408.04,"3",6,34
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,11
NA,"0",NA,NA,0.64,0,"(-0.01,5]",NA,"3",6,12
6,"0","1",20.2,0.64,0,"(5,10]",408.04,"3",6,20
7,NA,"1",21.14,NA,NA,NA,446.8996,"3",6,51
8,"0",NA,22.08,0.61,0.194,"(5,10]",487.5264,"3",6,107
9,"0","1",23.02,0.54,NA,"(5,10]",529.9204,"3",6,206
10,"0","1",25.84,0.48,0.1045,"(5,10]",667.7056,"3",6,332
11,NA,"1",25.84,NA,NA,NA,667.7056,"3",6,346
12,NA,"1",26.78,NA,NA,NA,717.1684,"3",6,443
13,NA,"1",26.78,0.4,0,"(10,16]",717.1684,"3",6,442
14,"0","1",26.78,0.4,0.1343,"(10,16]",717.1684,"3",6,443
15,"0","1",NA,0.4,0,"(10,16]",717.1684,"3",6,403
16,"0","1",26.78,0.42,0.194,NA,717.1684,"3",6,455
17,"0","2",25.84,0.42,0.1642,"(16,19]",667.7056,"3",6,421
18,"0","2",25.84,0.45,0.2537,"(16,19]",667.7056,"3",6,382
NA,"0",NA,NA,NA,0.1343,"(16,19]",NA,"3",6,317
20,"0","2",24.9,0.48,0.1045,"(19,24]",620.01,"3",6,213
21,"0","2",24.9,0.54,0.1045,"(19,24]",620.01,"3",6,183
22,NA,"1",24.9,NA,NA,NA,620.01,"3",6,114
23,"0","1",24.9,0.54,0.0896,"(19,24]",NA,"3",6,78
0,"1","3",22.08,0.73,0.2836,"(-0.01,5]",487.5264,"3",6,32
NA,"1","2",21.14,0.78,0.1343,"(-0.01,5]",446.8996,"3",6,15
2,"1",NA,21.14,0.78,0.1343,"(-0.01,5]",446.8996,"3",6,6
3,NA,"3",21.14,NA,NA,NA,446.8996,"3",6,2
NA,"1",NA,NA,0.83,0.1642,"(-0.01,5]",NA,"3",6,9
5,"1","2",21.14,NA,0.1642,"(-0.01,5]",446.8996,"3",6,22
6,"1","2",21.14,0.78,0.1642,"(5,10]",446.8996,"3",6,94
7,"1","2",22.08,0.73,0.2239,"(5,10]",487.5264,"3",6,261
8,"1","1",23.02,0.74,0.194,"(5,10]",529.9204,"3",6,447
9,NA,"2",25.84,0.54,0,"(5,10]",667.7056,"3",6,187
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,150
11,"1","2",24.9,0.58,0,"(10,16]",620.01,"3",6,150
12,"1","2",NA,0.54,0,"(10,16]",667.7056,"3",6,170
13,NA,"2",25.84,NA,NA,NA,667.7056,"3",6,164
14,"1",NA,NA,0.58,0.0896,"(10,16]",667.7056,"3",6,158
15,"1","2",26.78,0.55,0,"(10,16]",717.1684,"3",6,202
16,"1","1",26.78,0.55,0.1045,"(10,16]",NA,"3",6,275
NA,"1",NA,NA,0.55,0.1343,"(16,19]",NA,"3",6,604
NA,"1",NA,NA,0.51,0,"(16,19]",NA,"3",6,591
19,NA,"1",25.84,NA,NA,NA,667.7056,"3",6,396
20,"1","1",24.9,0.65,0.1045,"(19,24]",620.01,"3",6,305
NA,"1",NA,NA,NA,0,"(19,24]",NA,"3",6,242
22,"1","1",23.96,0.69,0,"(19,24]",574.0816,"3",6,145
23,"1","1",23.96,0.69,0,"(19,24]",574.0816,"3",6,81
0,"2","2",23.02,0.78,0.1343,"(-0.01,5]",529.9204,"3",6,30
1,"2","1",23.02,0.74,0,"(-0.01,5]",529.9204,"3",6,13
2,"2","2",23.02,0.74,0,"(-0.01,5]",529.9204,"3",6,11
3,"2","2",23.02,0.74,0,"(-0.01,5]",529.9204,"3",6,2
4,"2","1",23.02,0.74,0,"(-0.01,5]",529.9204,"3",6,8
5,"2","1",23.02,0.78,0,"(-0.01,5]",NA,"3",6,21
6,"2","1",23.02,0.83,0.1642,"(5,10]",529.9204,"3",6,124
7,"2","1",23.96,0.83,0.194,"(5,10]",NA,"3",6,347
8,"2","1",24.9,0.79,0.1642,"(5,10]",620.01,"3",6,456
NA,NA,"1",26.78,NA,NA,NA,717.1684,"3",6,246
10,NA,"1",29.6,NA,NA,NA,NA,"3",6,157
11,"2","1",30.54,0.46,0,"(10,16]",932.6916,"3",6,167
12,"2","1",31.48,0.47,0.2239,"(10,16]",990.9904,"3",6,202
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,189
NA,"2",NA,NA,0.44,0.2239,NA,NA,"3",6,160
15,"2","1",32.42,0.41,0,"(10,16]",1051.0564,"3",6,166
16,"2","1",32.42,0.47,0.2836,"(10,16]",1051.0564,"3",6,261
17,"2","3",30.54,0.56,0.2836,"(16,19]",932.6916,"3",6,579
18,"2","3",29.6,0.55,0.2985,"(16,19]",876.16,"3",6,504
NA,"2",NA,NA,0.58,0.4627,"(16,19]",NA,"3",6,299
20,NA,"1",26.78,NA,NA,NA,NA,"3",6,296
NA,"2",NA,NA,0.66,0.2836,"(19,24]",NA,"3",6,195
22,"2","1",24.9,0.7,0.2985,"(19,24]",620.01,"3",6,134
23,NA,"1",24.9,NA,NA,NA,620.01,"3",6,81
NA,"3",NA,NA,0.79,0.2836,"(-0.01,5]",NA,"3",6,36
NA,"3",NA,NA,NA,0.2985,"(-0.01,5]",NA,"3",6,28
2,"3","1",23.02,0.83,0.2239,"(-0.01,5]",529.9204,"3",6,16
3,"3","2",23.02,0.83,0.1045,"(-0.01,5]",529.9204,"3",6,5
4,NA,"1",23.02,0.83,0.1045,"(-0.01,5]",529.9204,"3",6,5
5,NA,"1",22.08,NA,NA,NA,487.5264,"3",6,22
NA,NA,"1",23.02,NA,NA,NA,529.9204,"3",6,116
7,"3","1",24.9,0.54,0.2239,NA,620.01,"3",6,336
8,"3","1",24.9,NA,NA,"(5,10]",620.01,"3",6,540
9,"3","1",25.84,0.45,0.3881,"(5,10]",667.7056,"3",6,221
10,NA,"1",26.78,0.42,0.2836,"(5,10]",717.1684,"3",6,126
NA,"3",NA,NA,0.35,0.2239,"(10,16]",NA,"3",6,170
12,NA,"1",27.72,NA,NA,NA,768.3984,"3",6,243
13,"3","1",29.6,0.31,0.3284,"(10,16]",876.16,"3",6,231
14,"3","1",29.6,0.31,0.194,NA,876.16,"3",6,188
15,"3","1",30.54,0.3,0.1642,"(10,16]",932.6916,"3",6,189
16,NA,"1",30.54,NA,NA,NA,932.6916,"3",6,328
NA,"3",NA,NA,0.26,0.4179,"(16,19]",NA,"3",6,570
18,"3","1",29.6,0.29,0.2985,"(16,19]",876.16,"3",6,588
19,NA,"1",27.72,NA,NA,NA,768.3984,"3",6,401
20,"3","1",26.78,0.37,0.2985,"(19,24]",717.1684,"3",6,333
21,NA,"1",25.84,NA,NA,NA,667.7056,"3",6,221
22,NA,"1",24.9,NA,NA,NA,620.01,"3",6,183
23,"3",NA,NA,0.47,0.194,"(19,24]",574.0816,"3",6,129
0,"4","1",23.02,0.5,0.1642,"(-0.01,5]",529.9204,"3",6,54
1,"4","1",22.08,0.53,0.1343,"(-0.01,5]",487.5264,"3",6,32
NA,"4",NA,NA,0.57,0.1343,"(-0.01,5]",NA,"3",6,8
3,"4","1",20.2,0.6,0.1642,"(-0.01,5]",408.04,"3",6,9
4,"4","1",19.26,0.64,0.1343,"(-0.01,5]",370.9476,"3",6,6
5,NA,"1",19.26,NA,NA,NA,370.9476,"3",6,25
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,123
7,NA,"1",21.14,NA,NA,NA,446.8996,"3",6,320
8,NA,"1",23.96,NA,NA,NA,574.0816,"3",6,555
9,"4","1",24.9,0.42,0.2239,"(5,10]",620.01,"3",6,260
10,"4","1",25.84,0.42,0.194,"(5,10]",NA,"3",6,132
11,"4","1",26.78,0.37,0.1343,"(10,16]",717.1684,"3",6,169
12,"4","1",27.72,0.35,0.1642,"(10,16]",768.3984,"3",6,233
13,"4","1",27.72,0.33,0.194,"(10,16]",768.3984,"3",6,232
14,"4","1",NA,0.31,0.194,"(10,16]",821.3956,"3",6,163
15,"4","1",28.66,0.25,0.2537,"(10,16]",821.3956,"3",6,240
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,323
NA,"4",NA,NA,0.27,0.3582,"(16,19]",NA,"3",6,594
18,"4","1",27.72,0.29,0.2537,"(16,19]",768.3984,"3",6,586
19,"4","1",26.78,0.33,0.194,"(16,19]",717.1684,"3",6,455
NA,"4",NA,NA,0.33,0.194,"(19,24]",NA,"3",6,340
21,NA,"1",25.84,NA,NA,NA,667.7056,"3",6,323
22,"4","1",NA,0.42,0.1642,"(19,24]",620.01,"3",6,207
NA,"4",NA,NA,0.5,0,"(19,24]",NA,"3",6,126
0,NA,"1",NA,0.5,0,"(-0.01,5]",529.9204,"3",7,68
1,NA,"1",23.02,NA,NA,NA,NA,"3",7,31
2,NA,NA,21.14,NA,NA,NA,446.8996,"3",7,13
3,"5","1",22.08,0.53,0,"(-0.01,5]",487.5264,"3",7,11
NA,"5",NA,NA,0.57,0,"(-0.01,5]",NA,"3",7,6
NA,"5",NA,NA,0.64,0.1343,"(-0.01,5]",NA,"3",7,30
6,"5","1",21.14,0.61,0.1343,"(5,10]",446.8996,"3",7,108
7,"5","1",23.02,0.54,0.1045,"(5,10]",529.9204,"3",7,243
8,"5","1",24.9,0.42,0.1642,"(5,10]",620.01,"3",7,492
NA,"5",NA,NA,0.35,0.1642,"(5,10]",NA,"3",7,260
10,"5","1",27.72,0.33,0.1642,"(5,10]",768.3984,"3",7,170
NA,"5","1",29.6,0.26,0,NA,876.16,"3",7,214
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,263
13,"5","1",29.6,0.24,0,"(10,16]",876.16,"3",7,292
14,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,303
15,"5","1",30.54,0.21,0.2537,NA,932.6916,"3",7,381
16,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,427
17,"5","1",30.54,0.21,0.194,"(16,19]",932.6916,"3",7,461
18,"5","1",29.6,0.24,0.2537,"(16,19]",876.16,"3",7,422
19,"5","1",28.66,0.25,0.194,"(16,19]",821.3956,"3",7,318
NA,"5",NA,NA,0.42,0.2239,"(19,24]",NA,"3",7,269
21,"5","1",24.9,0.45,0.194,"(19,24]",620.01,"3",7,218
22,"5","1",24.9,0.42,0,"(19,24]",NA,"3",7,222
23,"5","1",23.96,0.47,0.0896,"(19,24]",574.0816,"3",7,140
0,NA,"1",23.96,NA,NA,NA,574.0816,"3",7,115
1,"6","1",NA,0.54,0,"(-0.01,5]",529.9204,"3",7,78
2,"6","1",22.08,0.53,0,"(-0.01,5]",487.5264,"3",7,52
3,"6","1",22.08,0.53,0,"(-0.01,5]",487.5264,"3",7,26
NA,NA,"1",21.14,NA,NA,NA,446.8996,"3",7,11
5,"6","1",19.26,0.73,0.1045,"(-0.01,5]",370.9476,"3",7,14
NA,"6",NA,NA,0.69,NA,"(5,10]",NA,"3",7,32
7,"6","1",22.08,0.65,0,"(5,10]",487.5264,"3",7,45
NA,"6",NA,NA,0.57,0,"(5,10]",NA,"3",7,132
9,NA,"1",26.78,NA,NA,NA,717.1684,"3",7,179
10,"6","1",29.6,0.36,0,"(5,10]",876.16,"3",7,271
11,"6","1",29.6,0.36,0.0896,"(10,16]",NA,"3",7,357
12,"6","1",30.54,0.3,0.1343,"(10,16]",932.6916,"3",7,374
NA,"6",NA,NA,0.3,0.1045,"(10,16]",NA,"3",7,404
NA,"6",NA,NA,0.2,0,"(10,16]",NA,"3",7,392
15,"6","1",32.42,0.19,0.1642,"(10,16]",1051.0564,"3",7,331
NA,"6",NA,NA,0.22,NA,"(10,16]",NA,"3",7,398
17,"6","1",31.48,0.3,0.2239,"(16,19]",990.9904,"3",7,349
18,"6","1",30.54,0.3,0.2836,"(16,19]",932.6916,"3",7,383
NA,"6",NA,NA,0.33,0.2239,"(16,19]",NA,"3",7,305
20,"6","1",NA,0.45,0.2836,"(19,24]",768.3984,"3",7,284
NA,NA,"1",26.78,NA,NA,NA,717.1684,"3",7,232
NA,"6",NA,NA,0.51,0.1642,"(19,24]",NA,"3",7,201
NA,"6",NA,NA,0.54,0.2836,"(19,24]",NA,"3",7,154
0,"0","1",24.9,0.58,0.2239,"(-0.01,5]",620.01,"3",7,144
1,NA,"2",24.9,NA,NA,NA,620.01,"3",7,78
2,"0","1",24.9,NA,0.194,"(-0.01,5]",620.01,"3",7,69
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,33
NA,"0",NA,NA,0.65,0.0896,"(-0.01,5]",NA,"3",7,5
5,"0","3",21.14,0.83,0.194,"(-0.01,5]",446.8996,"3",7,1
6,"0","2",21.14,0.94,0.0896,"(5,10]",446.8996,"3",7,3
7,"0","2",22.08,0.89,0.194,"(5,10]",487.5264,"3",7,25
NA,"0",NA,NA,0.79,0.2239,"(5,10]",NA,"3",7,92
9,"0",NA,24.9,0.74,0.2537,"(5,10]",620.01,"3",7,181
10,"0",NA,26.78,NA,0.1642,"(5,10]",717.1684,"3",7,264
NA,"0","1",27.72,0.62,0.1045,"(10,16]",NA,"3",7,390
NA,"0",NA,NA,0.55,0.1045,"(10,16]",NA,"3",7,404
13,NA,"1",NA,NA,NA,NA,876.16,"3",7,421
NA,"0",NA,NA,0.56,0.2537,"(10,16]",NA,"3",7,375
NA,"0",NA,NA,0.53,0.2985,"(10,16]",NA,"3",7,376
NA,"0","1",31.48,0.53,0.2985,"(10,16]",990.9904,"3",7,414
17,"0","3",29.6,NA,0.8507,"(16,19]",876.16,"3",7,358
18,"0","3",29.6,0.49,0.8507,"(16,19]",876.16,"3",7,181
NA,"0",NA,NA,NA,0.194,"(16,19]",NA,"3",7,183
20,NA,"3",23.02,NA,NA,NA,529.9204,"3",7,176
21,"0","2",23.02,0.83,0.1642,"(19,24]",529.9204,"3",7,167
22,"0","2",23.02,0.78,0.1045,"(19,24]",529.9204,"3",7,162
23,NA,"1",22.08,NA,NA,NA,487.5264,"3",7,147
0,"1","1",22.08,0.83,0.1343,"(-0.01,5]",487.5264,"3",7,140
1,NA,"1",22.08,NA,NA,NA,487.5264,"3",7,119
2,"1","1",22.08,0.83,0,"(-0.01,5]",487.5264,"3",7,63
3,"1","1",NA,0.78,0,"(-0.01,5]",487.5264,"3",7,26
4,"1","2",23.02,0.78,0.0896,"(-0.01,5]",529.9204,"3",7,12
5,"1",NA,22.08,0.83,0.1343,"(-0.01,5]",487.5264,"3",7,4
6,"1","1",22.08,0.89,0.1642,"(5,10]",487.5264,"3",7,16
7,"1","1",23.02,0.83,0.1343,"(5,10]",529.9204,"3",7,36
8,"1","1",24.9,0.74,0.1045,"(5,10]",620.01,"3",7,86
9,"1","2",25.84,0.66,0.0896,"(5,10]",667.7056,"3",7,238
10,"1","2",27.72,0.55,0.0896,"(5,10]",768.3984,"3",7,280
11,"1","2",27.72,0.55,0.0896,"(10,16]",768.3984,"3",7,349
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,447
NA,"1",NA,NA,0.49,0,"(10,16]",NA,"3",7,423
NA,"1",NA,NA,0.46,0,NA,NA,"3",7,408
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,408
16,"1","1",30.54,0.41,0,"(10,16]",932.6916,"3",7,452
NA,"1","1",29.6,0.46,0,"(16,19]",876.16,"3",7,436
NA,"1",NA,NA,NA,0.1343,"(16,19]",NA,"3",7,418
19,"1","2",NA,0.49,0.1642,"(16,19]",821.3956,"3",7,375
NA,NA,NA,NA,0.55,0.1045,"(19,24]",NA,"3",7,386
NA,"1","2",26.78,0.62,0.1045,"(19,24]",717.1684,"3",7,457
22,"1","2",26.78,0.62,0.1343,"(19,24]",717.1684,"3",7,326
23,NA,"2",25.84,NA,NA,NA,667.7056,"3",7,138
0,"2","2",24.9,0.65,0.1642,"(-0.01,5]",620.01,"3",7,55
1,"2",NA,24.9,0.65,0.1045,"(-0.01,5]",620.01,"3",7,39
2,"2","1",23.02,0.74,NA,"(-0.01,5]",529.9204,"3",7,13
3,NA,"1",23.02,NA,NA,NA,529.9204,"3",7,8
4,"2","1",23.02,0.69,NA,"(-0.01,5]",529.9204,"3",7,5
NA,"2","1",23.02,0.69,0,"(-0.01,5]",529.9204,"3",7,20
6,"2","1",23.02,0.74,0.0896,"(5,10]",529.9204,"3",7,94
7,"2","1",24.9,0.65,0.0896,"(5,10]",620.01,"3",7,270
8,"2","1",25.84,0.62,0.1343,"(5,10]",667.7056,"3",7,432
NA,"2",NA,NA,0.58,0.1343,"(5,10]",NA,"3",7,227
10,NA,"1",NA,0.52,0.1045,"(5,10]",768.3984,"3",7,139
NA,"2",NA,NA,0.46,0.1045,"(10,16]",NA,"3",7,172
NA,"2",NA,NA,0.43,0.1045,"(10,16]",NA,"3",7,201
13,"2","1",30.54,0.43,0.1045,"(10,16]",932.6916,"3",7,203
14,"2","1",NA,0.49,0.1642,"(10,16]",876.16,"3",7,178
15,"2","1",30.54,0.43,0,"(10,16]",932.6916,"3",7,162
16,"2","1",30.54,NA,0.1045,"(10,16]",932.6916,"3",7,281
17,"2","1",30.54,0.46,0.1045,"(16,19]",932.6916,"3",7,545
18,"2","1",29.6,0.55,0.1642,"(16,19]",NA,"3",7,496
19,"2","1",29.6,0.59,0.1343,"(16,19]",876.16,"3",7,368
NA,"2",NA,NA,0.66,0.1045,"(19,24]",NA,"3",7,284
21,"2","1",28.66,0.62,0.2537,"(19,24]",821.3956,"3",7,245
22,NA,"1",27.72,0.66,0.2239,"(19,24]",768.3984,"3",7,155
23,"2","1",26.78,0.66,0.1642,"(19,24]",NA,"3",7,73
NA,"3",NA,NA,0.74,0.194,"(-0.01,5]",NA,"3",7,37
NA,"3",NA,NA,0.74,0.1343,"(-0.01,5]",NA,"3",7,15
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,5
NA,"3",NA,NA,0.79,0,"(-0.01,5]",NA,"3",7,6
4,"3","2",23.96,0.83,0.0896,"(-0.01,5]",574.0816,"3",7,6
NA,"3",NA,NA,0.83,0.0896,"(-0.01,5]",NA,"3",7,35
6,NA,"1",24.9,NA,NA,NA,620.01,"3",7,121
7,"3","2",25.84,NA,0,"(5,10]",667.7056,"3",7,312
8,"3","2",25.84,0.74,0.1045,"(5,10]",667.7056,"3",7,428
9,"3","3",24.9,0.79,0.194,NA,NA,"3",7,189
10,"3","3",24.9,0.79,0.0896,"(5,10]",620.01,"3",7,43
NA,"3",NA,NA,0.74,0,"(10,16]",NA,"3",7,127
12,"3","2",26.78,0.66,0.0896,"(10,16]",717.1684,"3",7,152
13,"3","2",NA,0.7,0.1045,"(10,16]",717.1684,"3",7,140
14,NA,"1",27.72,NA,NA,NA,768.3984,"3",7,163
15,"3","1",27.72,0.7,0.2836,"(10,16]",768.3984,"3",7,185
16,"3",NA,NA,0.7,0.2537,"(10,16]",768.3984,"3",7,275
17,"3","1",28.66,0.59,0.2239,"(16,19]",821.3956,"3",7,596
18,NA,"1",27.72,NA,NA,NA,768.3984,"3",7,563
NA,"3",NA,NA,0.7,0.2239,"(16,19]",NA,"3",7,394
NA,"3",NA,NA,0.74,0.2537,"(19,24]",NA,"3",7,312
NA,"3",NA,NA,0.79,0.194,"(19,24]",NA,"3",7,241
22,"3","1",24.9,0.79,0.194,"(19,24]",620.01,"3",7,186
23,"3","1",23.96,0.83,0.2239,"(19,24]",574.0816,"3",7,98
0,"4","1",23.02,0.89,0.1343,"(-0.01,5]",529.9204,"3",7,35
1,"4","1",23.02,0.89,0.194,"(-0.01,5]",529.9204,"3",7,16
2,"4","1",23.02,0.89,0.194,"(-0.01,5]",529.9204,"3",7,8
3,NA,"1",22.08,NA,NA,NA,487.5264,"3",7,4
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,4
5,"4","1",22.08,0.89,0.1045,"(-0.01,5]",487.5264,"3",7,32
6,"4","2",22.08,0.89,0.1343,"(5,10]",487.5264,"3",7,118
7,"4","2",23.02,0.89,NA,"(5,10]",529.9204,"3",7,292
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,443
9,"4","1",26.78,0.7,0.1642,"(5,10]",717.1684,"3",7,179
NA,"4",NA,NA,0.62,0,"(5,10]",NA,"3",7,101
11,"4","1",30.54,0.52,0.1343,"(10,16]",932.6916,"3",7,142
NA,"4",NA,NA,0.41,0,"(10,16]",NA,"3",7,171
13,"4","1",32.42,0.41,0,NA,1051.0564,"3",7,155
14,"4","1",32.42,0.41,0.2537,"(10,16]",1051.0564,"3",7,160
15,"4","1",32.42,0.41,0.2537,"(10,16]",1051.0564,"3",7,166
16,"4","1",32.42,0.39,0.2239,"(10,16]",1051.0564,"3",7,265
17,"4","1",32.42,0.36,0.2537,"(16,19]",1051.0564,"3",7,569
18,"4","1",31.48,0.44,0.2985,"(16,19]",990.9904,"3",7,562
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,365
20,"4","1",27.72,0.58,NA,"(19,24]",768.3984,"3",7,285
21,"4","1",26.78,0.62,0.1642,"(19,24]",717.1684,"3",7,209
22,"4","1",26.78,0.62,0.1642,"(19,24]",717.1684,"3",7,182
23,NA,"1",25.84,0.66,0,"(19,24]",667.7056,"3",7,129
0,"5","1",26.78,0.66,0.1045,"(-0.01,5]",717.1684,"3",7,47
1,"5","1",25.84,0.79,0,"(-0.01,5]",667.7056,"3",7,34
2,"5","2",24.9,0.74,0.1642,"(-0.01,5]",620.01,"3",7,22
NA,NA,"1",NA,0.79,0.1045,"(-0.01,5]",574.0816,"3",7,6
4,"5","1",24.9,0.79,0.2537,"(-0.01,5]",620.01,"3",7,11
5,NA,"1",23.96,NA,NA,NA,574.0816,"3",7,27
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,102
7,NA,"2",24.9,NA,NA,NA,620.01,"3",7,332
NA,NA,NA,NA,0.74,0.2537,"(5,10]",NA,"3",7,457
9,"5","2",27.72,0.7,0.2985,"(5,10]",768.3984,"3",7,241
10,NA,"2",26.78,NA,NA,NA,717.1684,"3",7,138
11,"5","2",26.78,0.74,0.2537,"(10,16]",717.1684,"3",7,165
12,"5","2",27.72,0.7,0.2836,"(10,16]",768.3984,"3",7,213
13,"5","2",28.66,0.66,0.2836,"(10,16]",821.3956,"3",7,229
14,"5","2",29.6,0.63,0.3582,"(10,16]",876.16,"3",7,216
15,"5","2",29.6,0.63,NA,"(10,16]",876.16,"3",7,141
16,"5","3",23.96,0.83,0.4478,"(10,16]",574.0816,"3",7,132
17,NA,"3",23.02,NA,NA,NA,529.9204,"3",7,167
18,NA,"1",23.02,NA,NA,NA,529.9204,"3",7,316
19,"5","1",23.02,0.83,0.0896,"(16,19]",529.9204,"3",7,270
NA,"5",NA,NA,0.83,0.1642,"(19,24]",NA,"3",7,250
NA,"5",NA,NA,0.83,0.2537,"(19,24]",NA,"3",7,204
22,"5","2",23.02,0.78,0.194,"(19,24]",529.9204,"3",7,169
23,NA,"2",23.02,0.78,0.0896,"(19,24]",529.9204,"3",7,151
0,NA,NA,23.02,NA,NA,NA,529.9204,"3",7,121
1,NA,"2",22.08,0.89,0.1045,"(-0.01,5]",487.5264,"3",7,53
2,NA,"1",22.08,0.89,0.1642,"(-0.01,5]",487.5264,"3",7,55
3,"6","1",22.08,0.89,0.1343,"(-0.01,5]",487.5264,"3",7,30
NA,"6",NA,NA,0.83,0.2239,"(-0.01,5]",NA,"3",7,6
5,"6","2",21.14,0.88,0.1642,"(-0.01,5]",446.8996,"3",7,15
6,"6","2",22.08,0.83,0.194,"(5,10]",487.5264,"3",7,38
7,"6","1",23.02,0.78,0.194,"(5,10]",529.9204,"3",7,71
8,"6","1",24.9,0.7,NA,"(5,10]",620.01,"3",7,182
9,"6","1",26.78,0.58,0.2836,"(5,10]",717.1684,"3",7,247
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,264
11,"6","1",28.66,0.46,0.2985,NA,821.3956,"3",7,290
NA,"6",NA,NA,0.46,0.2537,"(10,16]",NA,"3",7,366
13,"6","1",30.54,0.41,0.2239,"(10,16]",932.6916,"3",7,416
NA,"6",NA,NA,0.36,0.1343,"(10,16]",NA,"3",7,373
15,NA,"1",31.48,NA,NA,NA,990.9904,"3",7,402
16,"6","1",30.54,0.38,0,"(10,16]",932.6916,"3",7,416
17,"6","1",NA,0.32,0,NA,990.9904,"3",7,401
18,"6","1",30.54,0.36,0.1045,"(16,19]",932.6916,"3",7,378
19,"6","1",27.72,0.55,0.1642,NA,768.3984,"3",7,306
20,"6","1",27.72,0.58,0.2239,"(19,24]",768.3984,"3",7,314
21,"6","1",26.78,0.58,0.1642,"(19,24]",717.1684,"3",7,238
22,NA,"1",25.84,NA,NA,NA,667.7056,"3",7,214
NA,"6",NA,NA,0.58,0.194,"(19,24]",NA,"3",7,140
NA,"0",NA,NA,0.61,0.1642,"(-0.01,5]",NA,"3",7,154
1,"0","1",24.9,0.61,0.1343,"(-0.01,5]",620.01,"3",7,113
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,96
3,"0","1",23.02,0.74,0.0896,"(-0.01,5]",529.9204,"3",7,25
4,"0","1",23.02,0.69,0.0896,"(-0.01,5]",529.9204,"3",7,5
5,NA,"1",23.02,NA,NA,NA,529.9204,"3",7,17
6,NA,"1",NA,NA,NA,NA,487.5264,"3",7,25
7,"0","1",24.9,0.7,0.0896,"(5,10]",620.01,"3",7,65
8,"0","1",25.84,0.66,0,"(5,10]",667.7056,"3",7,92
NA,"0",NA,NA,0.66,0.0896,"(5,10]",NA,"3",7,169
10,NA,"1",27.72,NA,NA,NA,768.3984,"3",7,268
11,NA,"1",28.66,NA,NA,NA,821.3956,"3",7,287
NA,"0",NA,NA,0.46,0.2836,"(10,16]",NA,"3",7,377
13,"0","1",29.6,0.46,0.2985,"(10,16]",876.16,"3",7,367
NA,"0","1",30.54,0.41,0.3284,"(10,16]",932.6916,"3",7,349
